Origin,Destination,stop_sequence,route_id,0-3,3-6,6-9,9-12,12-15,15-18,18-21,21-24,monday,tuesday,wednesday,thursday,friday,saturday,sunday,delay
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",15,9857,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",15,9857,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",15,9857,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",1,14222,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",1,14222,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",1,14222,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,215.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",1,14222,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",1,13227,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",1,13227,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",15,9857,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",15,9857,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",15,9857,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",15,9857,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",15,9857,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",1,14222,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Handschuhsheim, Burgstraße","Handschuhsheim, Biethsstraße",1,14222,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
