Origin,Destination,stop_sequence,route_id,0-3,3-6,6-9,9-12,12-15,15-18,18-21,21-24,monday,tuesday,wednesday,thursday,friday,saturday,sunday,delay
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",14,10632,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",14,10632,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,36.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,200.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",14,10632,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",14,10632,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",14,10632,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",18,22656,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,200.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
"Mannheim, Hauptfriedhof","Mannheim, Pfeifferswörth",24,10632,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.0
