Origin,Destination,stop_sequence,route_id,0-3,3-6,6-9,9-12,12-15,15-18,18-21,21-24,monday,tuesday,wednesday,thursday,friday,saturday,sunday,delay
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,141.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,9,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Mercedesstraße,Mineralbäder,11,14101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
