Origin,Destination,stop_sequence,route_id,0-3,3-6,6-9,9-12,12-15,15-18,18-21,21-24,monday,tuesday,wednesday,thursday,friday,saturday,sunday,delay
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",24,15066,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",4,9857,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",4,19881,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",7,14629,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",24,15066,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",9,13707,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",9,13707,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",4,19881,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",9,13707,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",4,14629,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",7,14629,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",24,15066,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,185.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",4,19881,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",7,14629,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",9,13707,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",7,14629,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",7,14629,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",4,14629,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",24,15066,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",9,13707,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",24,15066,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",9,13707,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",9,13707,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",4,9857,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",24,15066,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",24,15066,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",24,15066,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",25,9857,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",24,15066,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",9,13707,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
"Heidelberg, Stadtwerke","Heidelberg, Hauptbahnhof",13,13227,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
