Origin,Destination,stop_sequence,route_id,0-3,3-6,6-9,9-12,12-15,15-18,18-21,21-24,monday,tuesday,wednesday,thursday,friday,saturday,sunday,delay
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,130.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,130.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3.0
Inselstraße,Im Degen,5,21036,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0
Inselstraße,Im Degen,5,21036,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
Inselstraße,Im Degen,3,7065,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
