Origin,Destination,stop_sequence,route_id,0-3,3-6,6-9,9-12,12-15,15-18,18-21,21-24,monday,tuesday,wednesday,thursday,friday,saturday,sunday,delay
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",8,22656,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",8,22656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,3243,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,3243,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,10659,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,10659,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",5,3243,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",8,22656,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",8,22656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",8,22656,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",8,22656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,10659,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",8,22656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,3243,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,10659,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,10659,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",5,3243,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",5,3243,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,10659,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,3243,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,10659,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,10659,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,10659,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,3243,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",8,22656,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
"Mannheim, Rheinstraße","Mannheim, Rathaus/REM",17,10659,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0
