Origin,Destination,stop_sequence,route_id,0-3,3-6,6-9,9-12,12-15,15-18,18-21,21-24,monday,tuesday,wednesday,thursday,friday,saturday,sunday,delay
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",10,13227,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",10,13227,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",5,737,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",5,737,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",12,13227,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",12,13227,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",5,737,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",5,737,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",5,737,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",12,13227,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",5,737,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",12,13227,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",12,13227,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",5,737,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
"Heidelberg, Christuskirche","Heidelberg, Weststadt/Südstadt",5,737,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
